,latent_size,elbo,kl divergence,recon loss,min components,explained_variance
0,32,4.223421573638916,0.39179348945617676,3.8316280841827393,31,0.9712795861029224
1,16,4.3077521324157715,0.42113253474235535,3.8866190910339355,16,1.0
2,8,4.415573596954346,0.4600248336791992,3.9555492401123047,8,1.0000000000000002
